,account_id,customer_id,account_type,opening_date,account_status,balance,credit_score
0,405-8078784-5731545,15634602,current,2024-07-26 14:00:00,active,0.0,619
1,171-9198151-1101146,15647311,business,2024-07-25 22:20:00,closed,83807.86,608
2,404-0687676-7273146,15619304,business,2024-07-30 19:59:00,inactive,159660.8,502
3,403-9615377-8133951,15701354,saving,2024-07-22 3:15:00,closed,0.0,699
4,407-1069790-7240320,15737888,current,2024-07-02 9:02:00,closed,125510.82,850
5,404-1490984-4578765,15574012,business,2024-07-13 4:42:00,closed,113755.78,645
6,408-5748499-6859555,15592531,current,2024-07-23 9:51:00,inactive,0.0,822
7,406-7807733-3785945,15656148,saving,2024-07-11 11:12:00,active,115046.74,376
8,407-5443024-5233168,15792365,current,2024-07-01 19:19:00,active,142051.07,501
9,402-4393761-0311520,15592389,saving,2024-07-18 1:31:00,active,134603.88,684
10,407-5633625-6970741,15767821,saving,2024-07-29 23:33:00,closed,102016.72,528
11,171-4638481-6326716,15737173,saving,2024-07-26 4:03:00,closed,0.0,497
12,405-5513694-8146768,15632264,current,2024-07-27 13:18:00,inactive,0.0,476
13,408-7955685-3083534,15691483,saving,2024-07-17 18:55:00,closed,0.0,549
14,408-1298370-1920302,15600882,saving,2024-07-16 9:54:00,active,0.0,635
15,403-4965581-9520319,15643966,saving,2024-07-02 10:25:00,active,143129.41,616
16,406-9379318-6555504,15737452,current,2024-07-02 23:50:00,inactive,132602.88,653
17,405-9013803-8009918,15788218,current,2024-07-05 23:42:00,closed,0.0,549
18,402-4030358-5835511,15661507,business,2024-07-09 11:11:00,active,0.0,587
19,405-5957858-1051546,15568982,current,2024-07-12 14:44:00,active,0.0,726
20,405-0607769-0716360,15577657,current,2024-07-11 20:42:00,active,0.0,732
21,404-8494550-5860325,15597945,current,2024-07-08 22:33:00,closed,0.0,636
22,171-1305077-2813934,15699309,business,2024-07-16 10:17:00,closed,0.0,510
23,404-6019946-2909948,15725737,saving,2024-07-03 18:20:00,closed,0.0,669
24,402-3384087-4005164,15625047,saving,2024-07-03 21:17:00,inactive,0.0,846
25,405-8191138-5176316,15738191,saving,2024-07-19 21:18:00,inactive,0.0,577
26,403-9230474-9657916,15736816,current,2024-07-25 3:44:00,inactive,136815.64,756
27,408-3484251-6901959,15700772,saving,2024-07-15 17:11:00,inactive,0.0,571
