,transaction_id,customer_id,fraud_id,fraud_flag,froud_type,detection_method,detection_date
0,399,15634602,4995,fraud,Unusual Time,ML,4/30/2022
1,399,15647311,4995,normal,New Device Activity,Rule-Based,4/30/2022
2,399,15619304,4995,normal,Account Takeover,ML,4/30/2022
3,399,15701354,4995,normal,Phishing Attack,Rule-Based,4/30/2022
4,399,15737888,4995,fraud,Suspicious Login,Rule-Based,4/30/2022
5,399,15574012,4995,fraud,Account Takeover,Rule-Based,4/30/2022
6,399,15592531,4995,normal,Account Takeover,Rule-Based,4/30/2022
7,399,15656148,4995,normal,Identity Theft,ML,4/30/2022
8,399,15792365,4995,normal,Velocity Fraud,ML,4/30/2022
9,399,15592389,4995,fraud,Unusual Time,ML,4/30/2022
10,399,15767821,4995,fraud,Money Laundering,Rule-Based,4/30/2022
11,399,15737173,4995,normal,Velocity Fraud,Rule-Based,4/30/2022
12,399,15632264,4995,normal,Duplicate Transaction,Rule-Based,4/30/2022
13,399,15691483,4995,fraud,New Device Activity,ML,4/30/2022
14,399,15600882,4995,normal,New Device Activity,Rule-Based,4/30/2022
15,399,15643966,4995,fraud,Identity Theft,ML,4/30/2022
16,399,15737452,4995,fraud,Duplicate Transaction,Rule-Based,4/30/2022
17,399,15788218,4995,fraud,Account Takeover,ML,4/30/2022
18,399,15661507,4995,fraud,Money Laundering,ML,4/30/2022
19,399,15568982,4995,normal,Multiple Transactions In Short Time,Rule-Based,4/30/2022
20,399,15577657,4995,fraud,Velocity Fraud,Rule-Based,4/30/2022
21,399,15597945,4995,normal,Card Not Present,Rule-Based,4/30/2022
22,399,15699309,4995,fraud,Smurfing,Rule-Based,4/30/2022
23,399,15725737,4995,normal,High Amount Transaction,ML,4/30/2022
24,399,15625047,4995,normal,Suspicious Login,Rule-Based,4/30/2022
25,399,15738191,4995,normal,Unusual Location,Rule-Based,4/30/2022
26,399,15736816,4995,fraud,Unusual Time,Rule-Based,4/30/2022
27,399,15700772,4995,normal,Smurfing,ML,4/30/2022
28,399,15728693,4995,normal,Duplicate Transaction,Rule-Based,4/30/2022
29,399,15656300,4995,normal,Identity Theft,ML,4/30/2022
30,399,15589475,4995,normal,High Amount Transaction,ML,4/30/2022
31,399,15706552,4995,fraud,Smurfing,ML,4/30/2022
32,399,15750181,4995,normal,Duplicate Transaction,ML,4/30/2022
33,399,15659428,4995,fraud,Unusual Location,Rule-Based,4/30/2022
34,399,15732963,4995,fraud,Smurfing,ML,4/30/2022
35,399,15794171,4995,fraud,New Device Activity,Rule-Based,4/30/2022
36,399,15788448,4995,fraud,Suspicious Login,ML,4/30/2022
37,399,15729599,4995,normal,Phishing Attack,Rule-Based,4/30/2022
38,399,15717426,4995,normal,New Device Activity,ML,4/30/2022
39,399,15585768,4995,fraud,Velocity Fraud,Rule-Based,4/30/2022
40,399,15619360,4995,fraud,Card Not Present,Rule-Based,4/30/2022
41,399,15738148,4995,fraud,Card Not Present,ML,4/30/2022
42,399,15687946,4995,normal,Multiple Transactions In Short Time,ML,4/30/2022
43,399,15755196,4995,fraud,Unusual Time,ML,4/30/2022
44,399,15684171,4995,normal,Card Not Present,Rule-Based,4/30/2022
45,399,15754849,4995,normal,Card Not Present,Rule-Based,4/30/2022
46,399,15602280,4995,normal,Smurfing,Rule-Based,4/30/2022
47,399,15771573,4995,fraud,Phishing Attack,Rule-Based,4/30/2022
48,399,15766205,4995,fraud,Unusual Location,Rule-Based,4/30/2022
49,399,15771873,4995,fraud,Suspicious Login,Rule-Based,4/30/2022
50,399,15616550,4995,fraud,Smurfing,Rule-Based,4/30/2022
51,399,15768193,4995,fraud,Velocity Fraud,Rule-Based,4/30/2022
52,399,15683553,4995,normal,Money Laundering,ML,4/30/2022
53,399,15702298,4995,normal,High Amount Transaction,Rule-Based,4/30/2022
54,399,15569590,4995,fraud,Unusual Time,Rule-Based,4/30/2022
55,399,15760861,4995,fraud,Unusual Time,Rule-Based,4/30/2022
56,399,15630053,4995,fraud,Rapid Withdrawals,ML,4/30/2022
57,399,15647091,4995,normal,Money Laundering,ML,4/30/2022
58,399,15623944,4995,fraud,Duplicate Transaction,Rule-Based,4/30/2022
59,399,15804771,4995,normal,Velocity Fraud,ML,4/30/2022
60,399,15651280,4995,normal,Money Laundering,Rule-Based,4/30/2022
61,399,15773469,4995,fraud,Multiple Transactions In Short Time,ML,4/30/2022
62,399,15702014,4995,fraud,Velocity Fraud,Rule-Based,4/30/2022
63,399,15751208,4995,normal,Money Laundering,ML,4/30/2022
64,399,15592461,4995,normal,Card Not Present,Rule-Based,4/30/2022
65,399,15789484,4995,normal,Money Laundering,ML,4/30/2022
66,399,15696061,4995,normal,Money Laundering,ML,4/30/2022
67,399,15641582,4995,normal,Suspicious Login,Rule-Based,4/30/2022
68,399,15638424,4995,normal,Velocity Fraud,ML,4/30/2022
69,399,15755648,4995,normal,Rapid Withdrawals,Rule-Based,4/30/2022
70,399,15703793,4995,fraud,Identity Theft,ML,4/30/2022
71,399,15620344,4995,normal,Smurfing,ML,4/30/2022
72,399,15812518,4995,normal,High Amount Transaction,Rule-Based,4/30/2022
73,399,15779052,4995,fraud,Unusual Location,ML,4/30/2022
74,399,15770811,4995,fraud,Phishing Attack,ML,4/30/2022
75,399,15780961,4995,fraud,Identity Theft,ML,4/30/2022
76,399,15614049,4995,normal,Account Takeover,ML,4/30/2022
77,399,15662085,4995,fraud,Phishing Attack,ML,4/30/2022
78,399,15575185,4995,fraud,New Device Activity,Rule-Based,4/30/2022
79,399,15803136,4995,normal,Suspicious Login,Rule-Based,4/30/2022
80,399,15706021,4995,normal,Multiple Transactions In Short Time,Rule-Based,4/30/2022
81,399,15663706,4995,fraud,Velocity Fraud,Rule-Based,4/30/2022
82,399,15641732,4995,normal,Unusual Location,ML,4/30/2022
83,399,15701164,4995,fraud,Identity Theft,ML,4/30/2022
84,399,15738751,4995,fraud,Duplicate Transaction,ML,4/30/2022
85,399,15805254,4995,normal,Unusual Time,Rule-Based,4/30/2022
86,399,15762418,4995,fraud,Unusual Location,ML,4/30/2022
87,399,15625759,4995,fraud,Money Laundering,ML,4/30/2022
88,399,15622897,4995,fraud,Unusual Location,Rule-Based,4/30/2022
89,399,15767954,4995,normal,Suspicious Login,ML,4/30/2022
90,399,15757535,4995,fraud,Rapid Withdrawals,ML,4/30/2022
91,399,15731511,4995,fraud,Money Laundering,ML,4/30/2022
92,399,15809248,4995,normal,Multiple Transactions In Short Time,Rule-Based,4/30/2022
93,399,15640635,4995,normal,Rapid Withdrawals,Rule-Based,4/30/2022
94,399,15676966,4995,fraud,Unusual Location,ML,4/30/2022
95,399,15699461,4995,fraud,High Amount Transaction,ML,4/30/2022
96,399,15738721,4995,normal,Multiple Transactions In Short Time,ML,4/30/2022
97,399,15693683,4995,normal,Duplicate Transaction,Rule-Based,4/30/2022
98,399,15604348,4995,normal,Card Not Present,Rule-Based,4/30/2022
99,399,15633059,4995,fraud,New Device Activity,ML,4/30/2022
100,399,15808582,4995,fraud,Card Not Present,Rule-Based,4/30/2022
101,399,15743192,4995,normal,Account Takeover,ML,4/30/2022
102,399,15580146,4995,fraud,High Amount Transaction,Rule-Based,4/30/2022
103,399,15776605,4995,normal,Phishing Attack,ML,4/30/2022
104,399,15804919,4995,normal,Card Not Present,ML,4/30/2022
105,399,15613854,4995,fraud,Identity Theft,Rule-Based,4/30/2022
106,399,15599195,4995,fraud,Velocity Fraud,ML,4/30/2022
107,399,15812878,4995,fraud,Phishing Attack,ML,4/30/2022
108,399,15602312,4995,fraud,Account Takeover,ML,4/30/2022
109,399,15744689,4995,normal,Suspicious Login,Rule-Based,4/30/2022
