,account_id,transaction_id,customer_id,transaction_date,transaction_time,transaction_type,amount,balance_after_transaction,channel,transaction_status
0,405-8078784-5731545,399,15634602,4/30/2022,14:00:00,withdrawal,793.0,-793.0,ATM,succes
1,171-9198151-1101146,399,15647311,4/30/2022,22:20:00,payment,789.0,83018.86,online,succes
2,404-0687676-7273146,399,15619304,4/30/2022,19:59:00,transfer,372.0,159288.8,mobile,succes
3,403-9615377-8133951,399,15701354,4/30/2022,3:15:00,transfer,808.0,-808.0,ATM,failed
4,407-1069790-7240320,399,15737888,4/30/2022,9:02:00,withdrawal,689.0,124821.82,branch,succes
5,404-1490984-4578765,399,15574012,4/30/2022,4:42:00,payment,594.0,113161.78,ATM,succes
6,408-5748499-6859555,399,15592531,4/30/2022,9:51:00,withdrawal,668.0,-668.0,branch,succes
7,406-7807733-3785945,399,15656148,4/30/2022,11:12:00,transfer,848.0,114198.74,ATM,succes
8,407-5443024-5233168,399,15792365,4/30/2022,19:19:00,transfer,486.0,141565.07,ATM,failed
9,402-4393761-0311520,399,15592389,4/30/2022,1:31:00,transfer,744.0,133859.88,online,failed
10,407-5633625-6970741,399,15767821,4/30/2022,23:33:00,deposit,662.0,101354.72,mobile,failed
11,171-4638481-6326716,399,15737173,4/30/2022,4:03:00,withdrawal,422.0,-422.0,ATM,failed
12,405-5513694-8146768,399,15632264,4/30/2022,13:18:00,transfer,487.0,-487.0,ATM,failed
13,408-7955685-3083534,399,15691483,4/30/2022,18:55:00,withdrawal,719.0,-719.0,online,succes
14,408-1298370-1920302,399,15600882,4/30/2022,9:54:00,deposit,551.0,-551.0,ATM,succes
15,403-4965581-9520319,399,15643966,4/30/2022,10:25:00,deposit,848.0,142281.41,branch,succes
16,406-9379318-6555504,399,15737452,4/30/2022,23:50:00,withdrawal,634.0,131968.88,mobile,failed
17,405-9013803-8009918,399,15788218,4/30/2022,23:42:00,deposit,391.0,-391.0,branch,failed
18,402-4030358-5835511,399,15661507,4/30/2022,11:11:00,withdrawal,829.0,-829.0,branch,failed
19,405-5957858-1051546,399,15568982,4/30/2022,14:44:00,transfer,362.0,-362.0,online,failed
20,405-0607769-0716360,399,15577657,4/30/2022,20:42:00,payment,811.0,-811.0,ATM,failed
21,404-8494550-5860325,399,15597945,4/30/2022,22:33:00,deposit,438.0,-438.0,online,succes
22,171-1305077-2813934,399,15699309,4/30/2022,10:17:00,deposit,484.0,-484.0,mobile,failed
23,404-6019946-2909948,399,15725737,4/30/2022,18:20:00,deposit,504.0,-504.0,online,failed
24,402-3384087-4005164,399,15625047,4/30/2022,21:17:00,payment,513.0,-513.0,online,failed
25,405-8191138-5176316,399,15738191,4/30/2022,21:18:00,transfer,555.0,-555.0,mobile,succes
